X,genus,X,species,subttype,subtaxa,native_status,rarity_status,invasive_status
,Lonicera,,reticulata,,,N,,
,Lonicera,,tatarica,,,I,,
,Lonicera,,villosa,,,N,,
,Sambucus,,canadensis,var.,canadensis,N,,
,Sambucus,,racemosa,var.,pubens,N,,
,Symphoricarpos,,albus,,,N,,
,Symphoricarpos,,occidentalis,,,N,,
,Triosteum,,aurantiacum,,,N,,
,Triosteum,,perfoliatum,,,N,,
,Viburnum,,edule,,,N,,
,Viburnum,,lentago,,,N,,
,Viburnum,,opulus,,,I,,
,Viburnum,,rafinesquianum,,,N,,
,Viburnum,,rafinesquianum,var.,affine,N,,
,Viburnum,,rafinesquianum,var.,rafinesquianum,N,,
,Viburnum,,trilobum,,,N,,
,Agrostemma,,githago,var.,githago,I,,
,Arenaria,,serpyllifolia,var.,serpyllifolia,I,,
,Cerastium,,arvense,,,N,,
,Cerastium,,arvense,subsp.,arvense,I,,
,Cerastium,,arvense,subsp.,strictum,N,,
,Cerastium,,brachypodum,,,N,,
,Cerastium,,fontanum,subsp.,vulgare,I,,
,Cerastium,,nutans,var.,nutans,N,,
,Dianthus,,armeria,subsp.,armeria,I,,
,Gypsophila,,muralis,,,I,,
,Gypsophila,,paniculata,,,I,,
,Minuartia,,dawsonensis,,,N,T,
,Moehringia,,lateriflora,,,N,,
,Moehringia,,macrophylla,,,N,T,
,Myosoton,,aquaticum,,,I,,
,Paronychia,,canadensis,,,N,E,
,Paronychia,,fastigiata,var.,fastigiata,N,E,
,Petrorhagia,,saxifraga,var.,saxifraga,I,,
,Sagina,,nodosa,subsp.,borealis,N,E,
,Sagina,,procumbens,,,I,,
,Saponaria,,officinalis,,,I,,
,Scleranthus,,annuus,subsp.,annuus,I,,
,Silene,,antirrhina,,,N,,
,Silene,,armeria,,,I,,
,Silene,,csereii,,,I,,
,Silene,,dichotoma,subsp.,dichotoma,I,,
,Silene,,dioica,,,I,,
,Silene,,drummondii,subsp.,drummondii,N,SC,
,Silene,,flos-cuculi,subsp.,flos-cuculi,I,,
,Silene,,latifolia,,,I,,
,Silene,,nivea,,,N,T,
,Silene,,noctiflora,,,I,,
,Silene,,stellata,,,N,,
,Silene,,vulgaris,subsp.,vulgaris,I,,
,Spergula,,arvensis,,,I,,
,Spergularia,,rubra,,,I,,
,Stellaria,,alsine,,,N,,
,Stellaria,,borealis,subsp.,borealis,N,,
,Stellaria,,crassifolia,,,N,,
,Stellaria,,graminea,,,I,,
,Stellaria,,longifolia,,,N,,
,Stellaria,,longipes,subsp.,longipes,N,SC,
,Stellaria,,media,,,I,,
,Vaccaria,,hispanica,,,I,,
,Celastrus,,orbiculatus,,,I,,SN
,Celastrus,,scandens,,,N,,
,Euonymus,,atropurpureus,,,N,,
,Ceratophyllum,,demersum,,,N,,
,Ceratophyllum,,echinatum,,,N,W,
,Atriplex,,patula,,,I,,
,Atriplex,,prostrata,,,N,,
,Axyris,,amaranthoides,,,I,,
,Corispermum,,americanum,var.,americanum,N,,
,Corispermum,,pallasii,,,I,,
,Corispermum,,villosum,,,N,W,
,Cycloloma,,atriplicifolium,,,N,,
,Dysphania,,botrys,,,I,,
,Kochia,,scoparia,subsp.,scoparia,I,,
,Monolepis,,nuttalliana,,,N,H,
,Salicornia,,rubra,,,N,T,
,Salsola,,collina,,,I,,
,Salsola,,tragus,,,I,,
,Suaeda,,calceoliformis,,,N,,
,Helianthemum,,bicknellii,,,N,,
,Helianthemum,,canadense,,,N,SC,
,Hudsonia,,tomentosa,,,N,T,
,Lechea,,intermedia,,,N,,
,Lechea,,stricta,,,N,,
,Lechea,,tenuifolia,,,N,E,
,Peritoma,,serrulata,,,I,,
,Polanisia,,dodecandra,,,N,,
,Polanisia,,dodecandra,subsp.,dodecandra,N,,
,Polanisia,,dodecandra,subsp.,trachysperma,N,,
,Polanisia,,jamesii,,,N,E,
,Hypericum,,boreale,,,N,,
,Hypericum,,ellipticum,,,N,,
,Hypericum,,kalmianum,,,U,,
,Hypericum,,majus,,,N,,
,Hypericum,,perforatum,,,I,,
,Hypericum,,punctatum,,,N,,
,Hypericum,,pyramidatum,,,N,,
,Triadenum,,fraseri,,,N,,
,Commelina,,erecta,,,N,E,
,Tradescantia,,bracteata,,,N,,
,Tradescantia,,occidentalis,var.,occidentalis,N,,
,Tradescantia,,ohiensis,,,N,,
,Calystegia,,sepium,,,N,,
,Calystegia,,spithamaea,,,N,,
,Convolvulus,,arvensis,,,I,,PS
,Cornus,,alternifolia,,,N,,
,Cornus,,amomum,var.,schuetzeana,N,,
