X,genus,X,species,subttype,subtaxa,germcode
,Solidago,,rugosa,,,D
,Solidago,,speciosa,,,D
,Solidago,,uliginosa,,,D
,Solidago,,ulmifolia,,,D
,Symphyotrichum,,ericoides,,,D
,Symphyotrichum,,praealtum,,,D
,Symphyotrichum,,prenanthoides,,,D
,Talinum,,rugospermum,,,D
,Verbena,,hastata,,,D
,Verbena,,stricta,,,D
,Verbena,,urticifolia,,,D
,Veronicastrum,,virginicum,,,D
,Viola,,pedata,,,D
,Viola,,pubescens,var.,eriocarpa,D
,Viola,,sororia,,,D
,Viola,,sororia,f.,rubra,D
,Allium,,tricoccum,,,E
,Anemonella,,thalictroides,,,E
,Asarum,,canadense,,,E
,Cimicifuga,,racemosa,,,E
,Claytonia,,virginica,,,E
,Hydrophyllum,,appendiculatum,,,E
,Lilium,,michiganense,,,E
,Stylophorum,,diphyllum,,,E
,Uvularia,,grandiflora,,,E
,Actaea,,pachypoda,,,F
,Actaea,,rubra,,,F
,Anemone,,canadensis,,,F
,Anemone,,quinquefolia,,,F
,Angelica,,atropurpurea,,,F
,Arisaema,,triphyllum,,,F
,Hepatica,,acutiloba,,,F
,Hepatica,,americana,,,F
,Heracleum,,maximum,,,F
,Impatiens,,capensis,,,F
,Impatiens,,pallida,,,F
,Isanthus,,brachiatus,,,F
,Jeffersonia,,diphylla,,,F
,Maianthemum,,racemosum,,,F
,Maianthemum,,stellatum,,,F
,Polygonatum,,biflorum,,,F
,Rosa,,arkansana,,,F
,Rosa,,blanda,,,F
,Rosa,,carolina,,,F
,Rosa,,palustris,,,F
,Rosa,,setigera,,,F
,Sanguinaria,,canadensis,,,F
,Sparganium,,americanum,,,F
,Sparganium,,eurycarpum,,,F
,Trillium,,cernuum,,,F
,Trillium,,grandiflorum,,,F
,Uvularia,,sessilifolia,,,F
,Dodecatheon,,amethystinum,,,G
,Dodecatheon,,meadia,,,G
,Dodecatheon,,pulchellum,,,G
,Drymocallis,,arguta,,,G
,Eutrochium,,purpureum,,,G
,Oenothera,,biennis,,,G
,Penstemon,,calycosus,,,G
,Penstemon,,gracilis,,,G
,Penstemon,,grandiflorus,,,G
,Penstemon,,pallidus,,,G
,Penstemon,,tubaeflorus,,,G
,Sisyrinchium,,albidum,,,G
,Sisyrinchium,,campestre,,,G
,Solidago,,patula,,,G
,Symphyotrichum,,oolentangiense,,,G
,Thalictrum,,dasycarpum,,,G
,Thaspium,,trifoliatum,,flavum,G
,Tradescantia,,ohiensis,,,G
,Zizia,,aptera,,,G
,Zizia,,aurea,,,G
,Astragalus,,bisulcatus,,,H
,Astragalus,,canadensis,,,H
,Astragalus,,crassicarpus,,,H
,Astragalus,,racemosus,,,H
,Baptisia,,alba,,,H
,Baptisia,,australis,,,H
,Baptisia,,australis,var.,minor,H
,Baptisia,,bracteata,,,H
,Baptisia,,sphaerocarpa,,,H
,Baptisia,,tinctoria,,,H
,Chamaecrista,,fasciculata,,,H
